Author,Journal ,Country,Year,Study_id,Ingredient_type,Feed_general,Feed_specific,Feed_general_2,Feed_specific_2,Amino_supp,Supplement_type,FM_FO,Fish_group,Fish_sp,Fish_scientific,Life_stage,Replacement,FCR,Marine_ingredient_change,Crop_change,n3n6,Tissue,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,Both ,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,0,1.75,,0,1.2,Muscle,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,Both ,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,10,1.66,,-7,1.3,Muscle,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,Both ,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,20,1.67,,-15,1.4,Muscle,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,Both ,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,30,1.69,,-22,1.2,Muscle,,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,0,2.25,0,0,,,,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,5,2.11,0,0,,,,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,10,2.31,0,0,,,,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,15,2.23,0,0,,,,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,20,2.39,0,0,,,,,
Walker AB,North American Journal of Aquaculture ,USA,2011,9,Mixture,Algae ,Nannochloropsis sp,Algae,Isochrysis sp.,N,,FM,Marine fishes,Atlantic cod ,Gadus morhua,Juvenile,0,1.07,0,0,3,Muscle,,,
Walker AB,North American Journal of Aquaculture ,USA,2011,9,Mixture,Algae ,Nannochloropsis sp,Algae,Isochrysis sp.,N,,FM,Marine fishes,Atlantic cod ,Gadus morhua,Juvenile,15,1.3,-1.5,0,3.16,Muscle,,,
Walker AB,North American Journal of Aquaculture ,USA,2011,9,Mixture,Algae ,Nannochloropsis sp,Algae,Isochrysis sp.,N,,FM,Marine fishes,Atlantic cod ,Gadus morhua,Juvenile,30,0.3,-2.25,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10,Single ,Algae ,Chlorella sp. ,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10,Single ,Algae ,Chlorella sp. ,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.23,-1,-10,,,,,
de Cruz CR,Aquaculture ,USA,2018,10,Single ,Algae ,Chlorella sp. ,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,20,1.27,-1.8,-20,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.1,Single ,Algae ,Chlorella sp. ,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.1,Single ,Algae ,Chlorella sp. ,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.22,-1,-10,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.2,Mixture,Algae ,Phaeodactylum sp.,Algae,Nannochloropsis sp,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.2,Mixture,Algae ,Phaeodactylum sp.,Algae,Nannochloropsis sp,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.27,-0.7,-10,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.2,Mixture,Algae ,Phaeodactylum sp.,Algae,Nannochloropsis sp,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,20,1.25,-1.3,-20,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.3,Mixture,Algae ,Phaeodactylum sp.,Algae,Nannochloropsis sp,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.3,Single ,Algae ,Phaeodactylum sp.,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.23,-2,-10,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.4,Single ,Algae ,Nannochloropsis sp.,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.4,Single ,Algae ,Nannochloropsis sp.,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.2,-0.9,-10,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.5,Single ,Bacteria,Blue-green algae,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.5,Single ,Bacteria,Blue-green algae,,,Y,Taurine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.18,-0.3,-10,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.6,Mixture,Algae ,Nannochloropsis sp,Algae,Amphora sp.,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,-1.5,-15,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.6,Mixture,Algae ,Nannochloropsis sp,Algae,Amphora sp.,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,15,1.56,-1.5,-15,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.7,Mixture,Algae ,Nannochloropsis sp,Algae,Cylindro sp.,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.7,Mixture,Algae ,Nannochloropsis sp,Algae,Cylindro sp.,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,15,1.59,-1,-15,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.8,Mixture,Algae ,Phaeodactylum sp.,Algae,Nannochloropsis sp,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.8,Mixture,Algae ,Phaeodactylum sp.,Algae,Nannochloropsis sp,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,15,1.47,-0.9,-15,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.9,Single ,Bacteria,,,,N,,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,0,1.16,0,0,,,,,
de Cruz CR,Aquaculture ,USA,2018,10.9,Single ,Bacteria,,,,N,,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,10,1.47,-0.3,10,,,,,
