Author,Journal ,Country,Year,Study_id,Ingredient_type,Broad_feed,Feed_general,Feed_specific,Feed_general_2,Feed_specific_2,Amino_supp,Supplement_type,FM_FO,Fish_group,Fish_sp,Fish_scientific,Life_stage,FM_Replacement,FO_response,FO_replacement,FM_response,FCR,n3n6,n3_index,Tissue,Crop_change,Notes,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,0,0,,,1.75,,,,0,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,15,-0.5,,,1.66,,,,-7,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,30,-0.8,,,1.67,,,,-15,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,45,-1.1,,,1.69,,,,-22,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FO,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,,,0,0,,1.2,13.4,Muscle,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FO,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,,,12,-4.3,,1.3,13.5,Muscle,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FO,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,,,24,-8.5,,1.4,13.9,Muscle,,,
Cardinaletti G,Aquaculture ,Italy,2018,8,Mixture,Microalgae,Algae ,Tisochrysis sp.,Algae,Tetraselmis sp.,Y,Methionine,FO,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,,,36,-12.5,,1.2,12.6,Muscle,,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Macroalgae,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,0,0,,,2.25,,,,0,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Macroalgae,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,5,0,,,2.11,,,,0,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Macroalgae,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,10,0,,,2.31,,,,0,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Macroalgae,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,15,0,,,2.23,,,,0,,
Zhu D,Journal of Applied Phycology,China,2016,7,Single ,Macroalgae,Algae ,Ulva lactuca ,,,N,,FM,Marine fishes,Whitespot Snapper,Lutjanus stellatus ,Juvenile,20,0,,,2.39,,,,0,,
Walker AB,North American Journal of Aquaculture ,USA,2011,9,Mixture,Microalgae,Algae ,Nannochloropsis sp,Algae,Isochrysis sp.,N,,FM,Marine fishes,Atlantic cod ,Gadus morhua,Juvenile,0,0,,,1.07,3,8.94,Muscle,0,,
Walker AB,North American Journal of Aquaculture ,USA,2011,9,Mixture,Microalgae,Algae ,Nannochloropsis sp,Algae,Isochrysis sp.,N,,FM,Marine fishes,Atlantic cod ,Gadus morhua,Juvenile,15,-1.5,,,1.3,3.16,10.9,Muscle,0,,
